,GQ_prc5_95,GQ_std_cycle_open,GQ_std_cycle_closed,GNE_mean,GNE_std,GNE_SNR_TKEO,GNE_SNR_SEO,GNE_NSR_TKEO,GNE_NSR_SEO,VFER_mean,VFER_std,VFER_entropy,VFER_SNR_TKEO,VFER_SNR_SEO,VFER_NSR_TKEO,VFER_NSR_SEO,IMF_SNR_SEO,IMF_SNR_TKEO,IMF_SNR_entropy,IMF_NSR_SEO,IMF_NSR_TKEO,IMF_NSR_entropy
0,0.77778,11.7245,2.8277,1.173,0.26511999999999997,0.08312699999999999,1200445.612,1.5347,3.0152,0.00046263,0.00025997,0.83621,209.6062,455.9654,1.2825,1.3305,51.6843,5.7784,23.261,0.2685,5.8573,0.20023
1,0.8125,13.8284,2.8908,1.0221,0.22004,0.12741,1298455.445,1.6029,3.06,0.00061483,0.00029472,1.0455,243.0816,379.8429,1.3063,1.3177,24.023000000000003,6.7916,21.8851,0.26839,6.2366,0.20335999999999999
2,0.81818,26.9273,2.6975,0.84951,0.15755999999999998,0.11689000000000001,1272869.841,1.6223,3.0309,0.00036006,0.00026593,0.63668,238.5976,386.4739,1.2614,1.3078,60.0458,11.3376,41.731,0.23034000000000002,4.8081,0.17296
3,0.9854799999999999,139.5744,1.6961,0.83405,0.17295,0.14737,1932289.206,1.6717,3.0293,0.00019636,0.00019381,0.45452,79.0921,161.1054,1.2369,1.2986,83.6201,5.0784,35.8179,0.23529,4.2629,0.1751
4,0.9784700000000001,102.0549,15.4045,0.8355600000000001,0.1621,0.15199000000000001,1861807.802,1.6781,3.0362,0.00028125,0.00017484,0.71541,53.6764,164.4029,1.236,1.3156,102.9371,5.6022,31.5211,0.30603,6.35,0.21877
5,0.73122,104.2897,37.5602,0.8547,0.22764,0.14389000000000002,1761740.466,1.6678,3.0297,0.00028202,0.00028597,0.6591,48.16,100.1507,1.2139,1.264,59.8518,4.8077,26.7902,0.27326999999999996,6.1189,0.19882
6,1.0,12.0759,0.0,0.87505,0.099406,0.14777,1408372.118,1.6544,3.0247,0.0017059000000000002,0.00061108,3.4751,68.4688,224.4223,1.2344,1.3039,24.2781,2.4683,11.1578,0.13043,6.3795,0.13555
7,1.0,9.1775,0.0,0.8343,0.077763,0.16189,1473379.51,1.6531,3.0061,0.0017734000000000003,0.00051544,3.5494,50.2918,348.4967,1.2397,1.3607,2.6477,0.6683,2.7385,0.12412999999999999,20.587,0.13759000000000002
8,1.0,5.9031,0.0,0.7916300000000001,0.062666,0.15635,1434452.951,1.6569,3.0201,0.0016338000000000001,0.00039533,3.3284,34.5887,603.1786,1.2292,1.3735,14.4723,1.5085,7.0518,0.12068,5.8035,0.13288
9,1.0,4.8523,0.0,1.5353,0.24381999999999998,0.08090499999999999,1241110.325,1.5117,3.0698,0.0031123,0.0016827,8.6719,85.4586,344.4541,1.2932,1.3603,0.5149,0.14478,1.0844,0.13773,24.4549,0.13205
